contact_id,month,day_of_week,contact,num_contacts,days_since_previous,num_contacts_previous,outcome_previous,age,marital,job,education,default,mortgage,personal_loan,call_centre_volume,high_temp,low_temp,forward_rate,num_employed,consumer_confidence,price_index,employment_variation,outcome
32670,may,mon,mobile,2,-1,1,failure,51,married,industrial,4years,unknown,no,no,0.203883266,28,13,1.299,23669.51229,-44.814,255.45575,-1.60866,FALSE
8646,jun,wed,landline,5,-1,0,nonexistent,51,married,unemployed,4years,no,no,yes,0.779718241,27,21,4.864,24268.31739,-40.546,259.77875,1.25118,FALSE
6298,may,tue,landline,3,-1,0,nonexistent,43,married,industrial,4years,unknown,no,no,1.069439718,23,14,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
40424,aug,fri,mobile,2,-1,0,nonexistent,27,single,administrative,university.degree,no,yes,no,0.668203361,25,25,0.905,23170.50804,-37.151,258.57425,-1.51929,TRUE
26659,nov,thu,mobile,1,-1,0,nonexistent,36,single,professional,high.school,no,no,no,5.788101849,16,8,4.076,24118.38402,-40.74,256.3,-0.08937,FALSE
32736,may,mon,mobile,1,-1,1,failure,33,single,professional,high.school,no,unknown,unknown,0.04766905,27,15,1.299,23669.51229,-44.814,255.45575,-1.60866,FALSE
33355,may,tue,mobile,1,-1,0,nonexistent,32,single,industrial,9years,no,yes,no,1.111087794,25,12,1.291,23669.51229,-44.814,255.45575,-1.60866,FALSE
14671,jul,tue,mobile,3,-1,0,nonexistent,34,divorced,technical,postgrad,no,no,no,0.193182879,33,20,4.961,24268.31739,-41.419,258.2745,1.25118,FALSE
15985,jul,tue,mobile,2,-1,0,nonexistent,51,married,technical,6years,no,yes,no,0.123090765,26,21,4.961,24268.31739,-41.419,258.2745,1.25118,FALSE
40558,sep,wed,mobile,1,-1,1,failure,37,married,administrative,university.degree,no,yes,no,0.337294677,25,18,0.886,23040.53484,-36.375,259.04725,-0.98307,TRUE
22513,aug,fri,mobile,1,-1,0,nonexistent,49,married,unemployed,high.school,unknown,yes,no,0.212675374,27,19,4.964,24268.31739,-35.017,256.971,1.25118,FALSE
37905,sep,tue,mobile,1,-1,1,failure,79,married,retired,9years,no,no,no,2.693089239,27,17,0.819,23290.73325,-28.906,254.04225,-3.03858,TRUE
39453,apr,thu,mobile,1,6,2,success,48,married,administrative,university.degree,no,yes,yes,0.213371405,21,9,0.644,23249.88453,-33.562,257.80975,-1.60866,TRUE
37945,sep,fri,landline,1,-1,0,nonexistent,53,married,technical,postgrad,no,yes,no,2.056578203,28,21,0.803,23290.73325,-28.906,254.04225,-3.03858,FALSE
23794,aug,fri,mobile,4,-1,0,nonexistent,48,married,industrial,6years,no,no,no,0.624497327,31,23,4.963,24268.31739,-35.017,256.971,1.25118,FALSE
18839,aug,mon,mobile,1,-1,0,nonexistent,57,married,unknown,unknown,unknown,yes,no,0.586349772,26,21,4.97,24268.31739,-35.017,256.971,1.25118,FALSE
21524,aug,tue,mobile,3,-1,0,nonexistent,58,divorced,technical,postgrad,unknown,yes,no,1.074863602,26,19,4.963,24268.31739,-35.017,256.971,1.25118,FALSE
16387,jul,wed,mobile,1,-1,0,nonexistent,58,married,entrepreneur,university.degree,no,no,yes,1.488411345,30,19,4.963,24268.31739,-41.419,258.2745,1.25118,FALSE
40870,oct,wed,mobile,1,9,2,failure,35,married,technical,postgrad,no,yes,yes,1.932159714,22,14,0.959,23040.53484,-48.015,260.15275,-0.98307,TRUE
2809,may,wed,landline,1,-1,0,nonexistent,40,single,administrative,high.school,no,no,no,1.120150222,28,14,4.859,24096.1029,-35.308,258.4835,0.98307,FALSE
5861,may,mon,landline,3,-1,0,nonexistent,31,divorced,administrative,high.school,no,no,no,2.144041428,25,13,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
23625,aug,thu,mobile,21,-1,0,nonexistent,54,married,management,university.degree,no,no,no,0.363104615,30,22,4.962,24268.31739,-35.017,256.971,1.25118,FALSE
10287,jun,mon,landline,6,-1,0,nonexistent,25,single,technical,university.degree,no,yes,yes,1.758446629,28,15,4.96,24268.31739,-40.546,259.77875,1.25118,FALSE
1490,may,thu,landline,3,-1,0,nonexistent,42,married,industrial,4years,unknown,no,no,0.661734198,23,12,4.855,24096.1029,-35.308,258.4835,0.98307,FALSE
21584,aug,tue,landline,1,-1,0,nonexistent,36,single,unemployed,postgrad,no,yes,yes,0.734175284,31,22,4.963,24268.31739,-35.017,256.971,1.25118,FALSE
34083,may,wed,mobile,2,-1,0,nonexistent,43,married,administrative,high.school,unknown,no,no,0.23605956,26,13,1.281,23669.51229,-44.814,255.45575,-1.60866,FALSE
10157,jun,thu,landline,6,-1,0,nonexistent,43,married,entrepreneur,high.school,no,no,no,1.493398755,24,18,4.958,24268.31739,-40.546,259.77875,1.25118,TRUE
6524,may,wed,landline,1,-1,0,nonexistent,34,single,industrial,university.degree,no,yes,yes,2.782699858,25,12,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
9395,jun,fri,landline,2,-1,0,nonexistent,31,married,professional,high.school,no,yes,no,4.545775521,25,15,4.967,24268.31739,-40.546,259.77875,1.25118,FALSE
33674,may,wed,mobile,6,-1,1,failure,43,married,industrial,4years,no,yes,yes,0.104663991,24,14,1.281,23669.51229,-44.814,255.45575,-1.60866,FALSE
30226,apr,thu,mobile,1,-1,0,nonexistent,49,single,administrative,university.degree,no,no,no,1.447234303,23,9,1.365,23669.51229,-45.687,255.95625,-1.60866,FALSE
32581,may,mon,mobile,1,-1,1,failure,31,married,administrative,university.degree,no,yes,no,2.924107412,29,12,1.299,23669.51229,-44.814,255.45575,-1.60866,FALSE
11082,jun,thu,landline,11,-1,0,nonexistent,34,married,administrative,high.school,no,no,no,1.452166503,26,19,4.961,24268.31739,-40.546,259.77875,1.25118,FALSE
10190,jun,thu,landline,2,-1,0,nonexistent,36,married,technical,postgrad,no,no,yes,1.189539325,22,20,4.958,24268.31739,-40.546,259.77875,1.25118,FALSE
839,may,wed,landline,2,-1,0,nonexistent,31,single,administrative,university.degree,no,yes,no,1.406193717,26,13,4.856,24096.1029,-35.308,258.4835,0.98307,FALSE
5987,may,tue,landline,3,-1,0,nonexistent,51,married,unemployed,postgrad,no,no,no,0.894318653,24,13,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
2172,may,mon,landline,3,-1,0,nonexistent,54,married,industrial,postgrad,unknown,yes,yes,0.290634576,26,13,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
5227,may,fri,landline,1,-1,0,nonexistent,54,single,technical,university.degree,unknown,no,no,0.642574086,25,14,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
34062,may,wed,mobile,4,-1,0,nonexistent,36,single,industrial,9years,unknown,yes,no,0.214574655,27,12,1.281,23669.51229,-44.814,255.45575,-1.60866,FALSE
11647,jun,fri,landline,22,-1,0,nonexistent,53,married,industrial,4years,no,no,yes,0.662075038,21,20,4.959,24268.31739,-40.546,259.77875,1.25118,FALSE
14921,jul,wed,mobile,2,-1,0,nonexistent,34,single,administrative,university.degree,unknown,no,no,1.623202621,28,21,4.957,24268.31739,-41.419,258.2745,1.25118,FALSE
19419,aug,wed,mobile,3,-1,0,nonexistent,35,married,tradesman,4years,unknown,unknown,unknown,1.255507812,30,22,4.967,24268.31739,-35.017,256.971,1.25118,FALSE
10736,jun,tue,landline,5,-1,0,nonexistent,40,married,administrative,high.school,unknown,no,no,2.290548754,24,22,4.961,24268.31739,-40.546,259.77875,1.25118,FALSE
3825,may,fri,landline,8,-1,0,nonexistent,30,single,tradesman,high.school,no,yes,yes,0.640959004,22,9,4.859,24096.1029,-35.308,258.4835,0.98307,FALSE
23033,aug,tue,mobile,5,-1,0,nonexistent,38,married,administrative,university.degree,no,no,no,0.40161904,26,23,4.965,24268.31739,-35.017,256.971,1.25118,FALSE
14134,jul,mon,mobile,2,-1,0,nonexistent,27,single,professional,high.school,no,yes,no,0.13187029,32,22,4.962,24268.31739,-41.419,258.2745,1.25118,FALSE
38793,nov,thu,mobile,7,-1,0,nonexistent,56,divorced,management,unknown,no,yes,no,1.778581096,16,8,0.714,23290.73325,-29.197,254.78475,-3.03858,TRUE
12851,jul,tue,mobile,1,-1,0,nonexistent,38,married,industrial,high.school,no,no,no,0.934402944,29,22,4.962,24268.31739,-41.419,258.2745,1.25118,FALSE
2041,may,mon,landline,1,-1,0,nonexistent,49,divorced,management,high.school,unknown,no,no,0.973369369,24,13,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
35305,may,fri,mobile,3,-1,1,failure,26,married,industrial,9years,no,no,no,1.209686444,26,14,1.25,23669.51229,-44.814,255.45575,-1.60866,FALSE
39322,mar,mon,mobile,2,11,2,success,30,unknown,technical,university.degree,no,no,no,0.274179983,19,6,0.639,23249.88453,-33.756,256.76475,-1.60866,TRUE
16904,jul,thu,mobile,1,-1,0,nonexistent,42,married,management,high.school,no,no,no,0.725953891,28,21,4.962,24268.31739,-41.419,258.2745,1.25118,FALSE
6827,may,wed,landline,3,-1,0,nonexistent,28,married,tradesman,postgrad,no,yes,yes,0.991509785,24,14,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
14484,jul,tue,landline,2,-1,0,nonexistent,48,single,administrative,university.degree,no,yes,yes,0.556726029,32,21,4.961,24268.31739,-41.419,258.2745,1.25118,FALSE
40681,sep,thu,mobile,1,-1,0,nonexistent,65,married,technical,postgrad,no,no,no,2.150507638,28,21,0.879,23040.53484,-36.375,259.04725,-0.98307,FALSE
17235,jul,fri,mobile,4,-1,0,nonexistent,36,married,professional,high.school,no,no,no,1.259686943,29,17,4.962,24268.31739,-41.419,258.2745,1.25118,FALSE
5274,may,fri,landline,2,-1,0,nonexistent,30,married,administrative,university.degree,no,no,no,0.955039215,27,14,4.857,24096.1029,-35.308,258.4835,0.98307,FALSE
40735,sep,wed,mobile,1,6,1,success,60,married,retired,high.school,no,no,no,0.093374577,23,19,0.876,23040.53484,-36.375,259.04725,-0.98307,TRUE
